"OSKRBA IN PORABA","2000 Trdna goriva","2000 Surova nafta","2000 Naftni proizvodi","2000 Zemeljski plin","2000 Nuklearna energija","2000 Hidro energija","2000 Geoterm., sončna itd.","2000 Obnovljivi viri in odpadki","2000 Električna energija","2000 Toplota","2000 Energetski viri-SKUPAJ","2001 Trdna goriva","2001 Surova nafta","2001 Naftni proizvodi","2001 Zemeljski plin","2001 Nuklearna energija","2001 Hidro energija","2001 Geoterm., sončna itd.","2001 Obnovljivi viri in odpadki","2001 Električna energija","2001 Toplota","2001 Energetski viri-SKUPAJ","2002 Trdna goriva","2002 Surova nafta","2002 Naftni proizvodi","2002 Zemeljski plin","2002 Nuklearna energija","2002 Hidro energija","2002 Geoterm., sončna itd.","2002 Obnovljivi viri in odpadki","2002 Električna energija","2002 Toplota","2002 Energetski viri-SKUPAJ","2003 Trdna goriva","2003 Surova nafta","2003 Naftni proizvodi","2003 Zemeljski plin","2003 Nuklearna energija","2003 Hidro energija","2003 Geoterm., sončna itd.","2003 Obnovljivi viri in odpadki","2003 Električna energija","2003 Toplota","2003 Energetski viri-SKUPAJ","2004 Trdna goriva","2004 Surova nafta","2004 Naftni proizvodi","2004 Zemeljski plin","2004 Nuklearna energija","2004 Hidro energija","2004 Geoterm., sončna itd.","2004 Obnovljivi viri in odpadki","2004 Električna energija","2004 Toplota","2004 Energetski viri-SKUPAJ","2005 Trdna goriva","2005 Surova nafta","2005 Naftni proizvodi","2005 Zemeljski plin","2005 Nuklearna energija","2005 Hidro energija","2005 Geoterm., sončna itd.","2005 Obnovljivi viri in odpadki","2005 Električna energija","2005 Toplota","2005 Energetski viri-SKUPAJ","2006 Trdna goriva","2006 Surova nafta","2006 Naftni proizvodi","2006 Zemeljski plin","2006 Nuklearna energija","2006 Hidro energija","2006 Geoterm., sončna itd.","2006 Obnovljivi viri in odpadki","2006 Električna energija","2006 Toplota","2006 Energetski viri-SKUPAJ","2007 Trdna goriva","2007 Surova nafta","2007 Naftni proizvodi","2007 Zemeljski plin","2007 Nuklearna energija","2007 Hidro energija","2007 Geoterm., sončna itd.","2007 Obnovljivi viri in odpadki","2007 Električna energija","2007 Toplota","2007 Energetski viri-SKUPAJ","2008 Trdna goriva","2008 Surova nafta","2008 Naftni proizvodi","2008 Zemeljski plin","2008 Nuklearna energija","2008 Hidro energija","2008 Geoterm., sončna itd.","2008 Obnovljivi viri in odpadki","2008 Električna energija","2008 Toplota","2008 Energetski viri-SKUPAJ","2009 Trdna goriva","2009 Surova nafta","2009 Naftni proizvodi","2009 Zemeljski plin","2009 Nuklearna energija","2009 Hidro energija","2009 Geoterm., sončna itd.","2009 Obnovljivi viri in odpadki","2009 Električna energija","2009 Toplota","2009 Energetski viri-SKUPAJ","2010 Trdna goriva","2010 Surova nafta","2010 Naftni proizvodi","2010 Zemeljski plin","2010 Nuklearna energija","2010 Hidro energija","2010 Geoterm., sončna itd.","2010 Obnovljivi viri in odpadki","2010 Električna energija","2010 Toplota","2010 Energetski viri-SKUPAJ","2011 Trdna goriva","2011 Surova nafta","2011 Naftni proizvodi","2011 Zemeljski plin","2011 Nuklearna energija","2011 Hidro energija","2011 Geoterm., sončna itd.","2011 Obnovljivi viri in odpadki","2011 Električna energija","2011 Toplota","2011 Energetski viri-SKUPAJ","2012 Trdna goriva","2012 Surova nafta","2012 Naftni proizvodi","2012 Zemeljski plin","2012 Nuklearna energija","2012 Hidro energija","2012 Geoterm., sončna itd.","2012 Obnovljivi viri in odpadki","2012 Električna energija","2012 Toplota","2012 Energetski viri-SKUPAJ","2013 Trdna goriva","2013 Surova nafta","2013 Naftni proizvodi","2013 Zemeljski plin","2013 Nuklearna energija","2013 Hidro energija","2013 Geoterm., sončna itd.","2013 Obnovljivi viri in odpadki","2013 Električna energija","2013 Toplota","2013 Energetski viri-SKUPAJ","2014 Trdna goriva","2014 Surova nafta","2014 Naftni proizvodi","2014 Zemeljski plin","2014 Nuklearna energija","2014 Hidro energija","2014 Geoterm., sončna itd.","2014 Obnovljivi viri in odpadki","2014 Električna energija","2014 Toplota","2014 Energetski viri-SKUPAJ","2015 Trdna goriva","2015 Surova nafta","2015 Naftni proizvodi","2015 Zemeljski plin","2015 Nuklearna energija","2015 Hidro energija","2015 Geoterm., sončna itd.","2015 Obnovljivi viri in odpadki","2015 Električna energija","2015 Toplota","2015 Energetski viri-SKUPAJ","2016 Trdna goriva","2016 Surova nafta","2016 Naftni proizvodi","2016 Zemeljski plin","2016 Nuklearna energija","2016 Hidro energija","2016 Geoterm., sončna itd.","2016 Obnovljivi viri in odpadki","2016 Električna energija","2016 Toplota","2016 Energetski viri-SKUPAJ","2017 Trdna goriva","2017 Surova nafta","2017 Naftni proizvodi","2017 Zemeljski plin","2017 Nuklearna energija","2017 Hidro energija","2017 Geoterm., sončna itd.","2017 Obnovljivi viri in odpadki","2017 Električna energija","2017 Toplota","2017 Energetski viri-SKUPAJ","2018 Trdna goriva","2018 Surova nafta","2018 Naftni proizvodi","2018 Zemeljski plin","2018 Nuklearna energija","2018 Hidro energija","2018 Geoterm., sončna itd.","2018 Obnovljivi viri in odpadki","2018 Električna energija","2018 Toplota","2018 Energetski viri-SKUPAJ","2019 Trdna goriva","2019 Surova nafta","2019 Naftni proizvodi","2019 Zemeljski plin","2019 Nuklearna energija","2019 Hidro energija","2019 Geoterm., sončna itd.","2019 Obnovljivi viri in odpadki","2019 Električna energija","2019 Toplota","2019 Energetski viri-SKUPAJ","2020 Trdna goriva","2020 Surova nafta","2020 Naftni proizvodi","2020 Zemeljski plin","2020 Nuklearna energija","2020 Hidro energija","2020 Geoterm., sončna itd.","2020 Obnovljivi viri in odpadki","2020 Električna energija","2020 Toplota","2020 Energetski viri-SKUPAJ"
"Domača proizvodnja",46687,66,0,239,51938,13804,222,23711,-,-,136667,44314,37,0,204,57349,13666,229,27257,-,-,143056,48556,40,0,191,60305,11927,234,22848,-,-,144101,49576,28,0,170,56804,10649,241,25757,-,-,143225,50269,23,0,170,59553,14738,263,25558,-,-,150574,49114,20,0,148,64189,12460,306,30164,-,-,156401,50636,18,0,142,60524,12928,350,26984,-,-,151582,51891,18,0,116,62127,11758,409,29442,-,-,155761,49624,11,0,89,68433,14465,486,30635,-,-,163743,48558,10,0,88,62607,16974,610,28868,-,-,157715,50075,19,0,227,61712,16265,1566,30426,-,-,160290,50267,16,0,79,67797,12823,1864,30143,-,-,162989,45774,14,0,54,60305,14037,2324,29149,-,-,151657,45200,16,0,102,57814,16666,2701,30332,-,-,152831,34252,16,0,92,69487,21930,2925,27235,-,-,155937,36109,15,0,102,61618,13706,3175,30011,-,-,144736,39433,16,0,164,62340,16212,3383,30178,-,-,151726,39080,22,0,286,68567,13926,3628,29410,-,-,154919,37739,37,0,546,63016,16936,3578,26960,-,-,148811,37318,22,0,163,63505,16126,3836,26459,-,-,147429,36231,17,0,182,69303,17763,4378,25672,-,-,153546
"Uvoz",10182,6705,100687,34319,-,-,-,0,15235,-,167127,9331,241,103384,35375,-,-,-,0,11354,-,159685,12812,207,101657,34128,-,-,-,0,13658,-,162462,12956,0,102685,37795,-,-,-,0,21510,-,174945,14924,0,107171,37454,-,-,-,0,26758,-,186307,14175,0,113820,38752,-,-,-,0,33632,-,200379,14332,0,121127,37511,-,-,-,83,27743,-,200796,13882,0,122255,38174,-,-,-,399,21980,-,196690,18412,0,147811,36686,-,-,-,727,22409,-,226044,10825,0,123936,34711,-,-,-,1024,28008,-,198505,11728,0,132335,35878,-,-,-,1706,31050,-,212697,10836,0,135224,30815,-,-,-,1627,25330,-,203831,12576,0,142088,29662,-,-,-,2343,26829,-,213497,11212,0,134683,28862,-,-,-,2469,27077,-,204303,9494,0,152328,26105,-,-,-,1885,26115,-,215927,8714,0,166860,27707,-,-,-,1343,32562,-,237186,8361,0,187918,29326,-,-,-,855,30091,-,256551,8374,0,195094,30757,-,-,-,1862,32877,-,268964,9011,0,195256,30168,-,-,-,3903,32149,-,270486,9023,0,200846,30628,-,-,-,5176,32477,-,278149,7565,0,163770,30607,-,-,-,4888,25632,-,232462
"Izvoz",-14,0,-9737,0,-,-,-,0,-19991,-,-29742,-545,-34,-6512,0,-,-,-,0,-17734,-,-24824,0,-8,-4759,0,-,-,-,0,-17737,-,-22505,-210,-28,-3620,0,-,-,-,0,-20920,-,-24778,-1010,-24,-4927,0,-,-,-,0,-29479,-,-35440,-408,-19,-8849,0,-,-,-,0,-34800,-,-44076,-701,-19,-17051,0,-,-,-,-222,-27584,-,-45576,-66,-18,-17828,0,-,-,-,0,-21159,-,-39069,-30,-11,-22417,0,-,-,-,0,-28167,-,-50625,-129,-10,-19723,0,-,-,-,0,-39021,-,-58883,-22,-18,-28161,0,-,-,-,-483,-38682,-,-67366,-46,-16,-29796,0,-,-,-,-134,-30269,-,-60260,-21,-14,-34209,0,-,-,-,-186,-30568,-,-64998,-186,-16,-39398,0,-,-,-,-26,-31718,-,-71345,-34,-15,-59005,0,-,-,-,0,-35987,-,-95041,-185,-16,-72159,0,-,-,-,-49,-32735,-,-105144,-70,-15,-85621,0,-,-,-,-46,-34327,-,-120079,-87,-22,-87420,-123,-,-,-,-626,-34733,-,-123011,-69,-38,-88538,-376,-,-,-,-627,-33957,-,-123605,-59,-22,-97286,-57,-,-,-,-1401,-33623,-,-132448,-72,-17,-79964,0,-,-,-,-873,-32843,-,-113768
"Medn. pomorska skladišča",-,-,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,0,-,-,0,-,-,-851,-,-,-,-,0,-,-,-851,-,-,-1216,-,-,-,-,0,-,-,-1216,-,-,-1934,-,-,-,-,0,-,-,-1934,-,-,-2643,-,-,-,-,0,-,-,-2643,-,-,-1303,-,-,-,-,0,-,-,-1303,-,-,-731,-,-,-,-,0,-,-,-731,-,-,-1296,-,-,-,-,0,-,-,-1296,-,-,-2027,-,-,-,-,0,-,-,-2027,-,-,-2506,-,-,-,-,0,-,-,-2506,-,-,-2305,-,-,-,-,0,-,-,-2305,-,-,-2578,-,-,-,-,0,-,-,-2578,-,-,-4955,-,-,-,-,0,-,-,-4955,-,-,-6245,-,-,-,-,0,-,-,-6245,-,-,-9156,-,-,-,-,0,-,-,-9156,-,-,-7753,-,-,-,-,0,-,-,-7753,-,-,-4756,-,-,-,-,0,-,-,-4756
"Spremembe zalog",40,769,-2368,-,-,-,-,0,-,-,-1559,7647,1,2111,-,-,-,-,0,-,-,9758,3452,1,-695,-,-,-,-,0,-,-,2758,33,-1,-1366,-,-,-,-,0,-,-,-1333,223,1,-1625,-,-,-,-,0,-,-,-1402,1284,0,-1408,-,-,-,-,0,-,-,-124,1350,1,2504,-,-,-,-,0,-,-,3854,1129,0,1308,-,-,-,-,-2,-,-,2435,-3989,0,-2228,-,-,-,-,3,-,-,-6213,332,0,1940,-,-,-,-,-19,-,-,2253,-854,0,-622,-,-,-,-,0,-,-,-1475,481,0,642,-,-,-,-,0,-,-,1122,57,0,-3252,-,-,-,-,0,-,-,-3195,529,0,2726,-,-,-,-,11,-,-,3267,244,-1,2195,-,-,-,-,9,-,-,2446,97,1,382,-,-,-,-,-4,-,-,476,326,-1,-253,-,-,-,-,3,-,-,75,389,0,-3402,-,-,-,-,-142,-,-,-3155,699,1,896,-,-,-,-,-129,-,-,1467,-1666,0,-1512,-,-,-,-,255,-,-,-2924,-1113,-1,395,-,-,-,-,-42,-,-,-760
"Oskrba z energijo",56895,7540,88582,34557,51938,13804,222,23711,-4756,0,272493,60748,245,98982,35580,57349,13666,229,27257,-6379,0,287675,64820,239,96203,34319,60305,11927,234,22848,-4079,0,286816,62355,0,97698,37965,56804,10649,241,25757,590,0,292059,64405,0,100619,37624,59553,14738,263,25558,-2722,0,300039,64165,0,102713,38900,64189,12460,306,30164,-1168,0,311729,65618,0,105364,37653,60524,12928,350,26845,159,0,309440,66836,0,103802,38290,62127,11758,409,29839,822,0,313883,64018,0,120523,36775,68433,14465,486,31365,-5758,0,330306,59586,0,104850,34799,62607,16974,610,29874,-11012,0,298287,60927,0,102822,36105,61712,16265,1566,31649,-7632,0,303415,61539,0,104774,30894,67797,12823,1864,31636,-4939,0,306386,58386,0,102601,29716,60305,14037,2324,31306,-3740,0,294934,56756,0,95504,28965,57814,16666,2701,32786,-4641,0,286550,43957,0,93212,26197,69487,21930,2925,29128,-9873,0,276963,44735,0,92505,27809,61618,13706,3175,31301,-173,0,274676,48050,0,97090,29490,62340,16212,3383,30990,-4236,0,283319,47757,0,98027,30921,68567,13926,3628,30503,-1856,0,291472,47379,0,98457,30338,63016,16936,3578,30107,-1808,0,288003,44616,0,94295,30735,63505,16126,3836,30488,-1147,0,282453,42612,0,79445,30790,69303,17763,4378,29644,-7211,0,266723
"Reklasifikacije",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Statistične razlike",59,55,695,0,0,0,0,0,0,0,808,489,-4,-19,0,0,0,0,18,0,0,484,-820,0,21,0,0,0,0,-3,0,0,-802,70,0,0,0,0,0,0,0,0,0,70,1081,0,0,0,0,4,0,0,0,0,1085,622,0,-3,0,0,0,0,0,-1,0,617,823,0,0,0,0,0,0,0,1,0,824,972,0,0,0,0,0,0,0,1,1,973,561,0,0,0,0,0,0,0,2,1,562,667,0,12,1,0,0,0,0,0,0,681,817,0,-105,0,0,0,0,-1,2,0,713,601,0,0,0,0,0,0,-10,0,0,592,526,0,0,0,0,0,0,19,0,0,545,867,0,0,0,0,0,0,0,-1,0,865,-154,0,0,0,0,0,0,0,1,0,-153,157,0,0,0,0,0,0,0,2,0,159,402,0,0,0,0,0,0,0,0,0,402,256,0,0,0,0,0,0,0,0,0,256,943,0,0,0,0,0,0,0,0,0,943,716,0,0,0,0,0,0,0,0,0,716,335,0,-53,0,0,0,0,0,0,0,282
"Transformacija-skupaj",-53453,-7406,6232,-5589,-51938,-13804,0,-986,49046,9389,-68510,-57461,-249,-1481,-5487,-57349,-13666,0,-1020,52081,9387,-75245,-61221,-235,-695,-5316,-60305,-11927,0,-1399,52560,8888,-79652,-57524,0,-656,-6134,-56804,-10649,0,-1556,49756,9565,-74002,-58819,0,-534,-5282,-59553,-14735,0,-1687,54979,9721,-75909,-59098,0,-587,-5630,-64189,-12460,0,-1557,54425,10104,-78992,-60582,0,-773,-5255,-60524,-12928,0,-1538,54414,9615,-77570,-61559,0,-466,-5665,-62127,-11758,-2,-1428,54155,8798,-80051,-59857,0,-324,-5827,-68433,-14465,-3,-3442,59033,9329,-83988,-56372,0,-549,-6900,-62607,-16974,-14,-2729,59051,9093,-78003,-57869,0,-318,-6567,-61712,-16264,-129,-2981,59182,9781,-76878,-58492,0,-332,-6374,-67797,-12823,-309,-3583,57812,9720,-82178,-55526,0,-343,-6540,-60305,-14037,-674,-3609,56653,9499,-74882,-53655,0,-329,-6018,-57814,-16666,-867,-3555,57971,9428,-71506,-41910,0,-594,-4207,-69487,-21930,-1002,-3314,62773,8183,-71487,-42615,0,-326,-4115,-61618,-13706,-1074,-3718,54360,8685,-64125,-45866,0,-293,-4217,-62340,-16212,-1030,-3761,59401,9000,-65318,-45584,0,-358,-5113,-68567,-13926,-1088,-3961,58774,9451,-70370,-44397,0,-353,-5051,-63016,-16936,-979,-3833,58777,9315,-66470,-41927,0,-238,-5750,-63505,-16126,-1152,-4085,57958,9144,-65680,-40797,0,-191,-6175,-69303,-17763,-1386,-4277,61887,9173,-68832
"Transformacija-elektrarne-skupaj",-6833,0,-85,-34,-51938,-13804,0,0,33286,0,-39409,-6492,0,-954,-443,-57349,-13666,0,0,35212,0,-43692,-7440,0,-170,-307,-60305,-11927,0,-50,34492,0,-45708,-7521,0,-170,-1159,-56804,-10649,0,-88,32299,0,-44092,-6847,0,-85,-477,-59553,-14735,0,-91,36918,0,-44870,-6791,0,-137,-368,-64189,-12460,0,-102,36072,0,-47974,-7537,0,-188,-154,-60524,-12928,0,-119,35521,0,-45928,-7056,0,-209,-798,-62127,-11758,-2,-125,35093,0,-46980,-6801,0,-79,-180,-68433,-14465,-3,-625,39751,0,-50834,-7330,0,-156,-55,-62607,-16974,-14,-194,40313,0,-47017,-6089,0,-58,-59,-61712,-16264,-46,-107,39461,0,-44876,-7729,0,-104,-85,-67797,-12823,-237,-90,38708,0,-50156,-6536,0,-80,-102,-60305,-14037,-590,-78,37553,0,-44174,-5743,0,-47,-56,-57814,-16666,-789,-83,39367,0,-41832,-1305,0,-103,-75,-69487,-21930,-940,-106,47275,0,-46670,-204,0,-50,-99,-61618,-13706,-1009,-93,36106,0,-40672,-151,0,-50,-61,-62340,-16212,-984,-64,38808,0,-41053,-109,0,-51,-126,-68567,-13926,-1042,-57,38626,0,-45252,-3367,0,-66,-97,-63016,-16936,-940,-74,39399,0,-45097,-3256,0,-18,-252,-63505,-16126,-1113,-63,39027,0,-45306,-3165,0,-23,-501,-69303,-17763,-1348,-82,43224,0,-48961
