"KAZALNIK","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Domača proizvodnja (1000 toe)",3264,3417,3442,3421,3596,3736,3620,3720,3911,3767,3828,3893,3622,3650,3724,3457,3624,3700,3554,3521,3667
"Oskrba z energijo (1000 toe)",6508,6871,6850,6976,7166,7445,7391,7497,7889,7124,7247,7318,7044,6844,6615,6561,6767,6962,6879,6746,6371
"Končna poraba (1000 toe)",4681,4897,4798,5015,5134,5335,5320,5357,5674,5045,5160,5123,5015,4884,4688,4803,4969,5044,5050,4943,4489
"Energetska odvisnost (%)",50.4,46.9,48.8,51.4,50.3,50.1,50.2,50.2,53.1,46.8,47.9,46.9,50.4,46.4,43.6,48.1,48.2,50.1,51.0,51.6,44.5
"Energetska učinkovitost (%)",71.9,71.3,70.0,71.9,71.6,71.7,72.0,71.5,71.9,70.8,71.2,70.0,71.2,71.4,70.9,73.2,73.4,72.5,73.4,73.3,70.5
"Energetska intenzivnost - Oskrba z energijo/BDP (toe/mio EUR 2010)",234,239,231,228,224,225,211,200,203,199,199,200,197,194,182,177,177,173,164,156,154
"Energetska intenzivnost - Končna poraba/BDP (toe/mio EUR 2010)",168,171,161,164,161,161,152,143,146,141,142,140,140,138,129,129,130,126,120,114,108
"Poraba el. en. / BDP (MWh/mio EUR 2010)",383,386,398,399,397,388,379,356,334,318,332,344,351,356,346,347,343,339,329,318,315
"Oskrba z energijo na prebivalca (toe/preb.)",3.30,3.48,3.43,3.55,3.59,3.72,3.68,3.70,3.88,3.48,3.54,3.57,3.43,3.32,3.21,3.18,3.28,3.37,3.31,3.22,3.02
"Končna poraba na prebivalca (toe/preb.)",2.38,2.48,2.41,2.55,2.57,2.66,2.65,2.64,2.79,2.46,2.52,2.50,2.44,2.37,2.27,2.33,2.41,2.44,2.43,2.36,2.13
"Poraba el. en. na prebivalca (kWh/preb.)",5413,5616,5926,6214,6348,6425,6615,6584,6369,5581,5893,6151,6101,6114,6094,6250,6351,6591,6635,6573,6186
"OVE ogrevanje in hlajenje (%)",-,-,-,-,22.82,26.40,24.35,29.31,27.53,28.87,29.54,31.79,33.15,35.12,34.64,36.15,35.56,34.64,32.34,32.13,32.14
"OVE električna energija (%)",-,-,-,-,29.27,28.65,28.23,27.70,29.96,33.76,32.20,31.04,31.64,33.08,33.94,32.72,32.06,32.43,32.31,32.63,35.09
"OVE transport (%)",-,-,-,-,0.85,0.83,1.06,1.47,1.77,2.25,3.12,2.48,3.25,3.77,2.88,2.24,1.60,2.57,5.48,7.98,10.91
"OVE skupni delež (%)",-,-,-,-,18.40,19.81,18.42,19.68,18.65,20.77,21.08,20.94,21.55,23.16,22.46,22.88,21.97,21.66,21.38,21.97,25.00
"Vsebnost ogljika v oskrbi z energijo (t/toe)",2.31,2.37,2.42,2.33,2.33,2.27,2.32,2.31,2.31,2.27,2.27,2.23,2.23,2.21,2.05,2.08,2.13,2.10,2.11,2.08,...
